,Community,V27,V28,V29,V30,V31,V32,V33
157,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
158,Comm.NodeJS,5,5,4,5,2,2,2
159,Comm.Apache,4,4,4,4,2,1,3
160,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
161,Comm.Apache,2,3,3,4,4,2,5
162,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
163,Comm.jQuery,2,2,2,2,2,3,2
164,Comm.Apache,5,5,4,4,2,2,2
165,-1,4,5,5,5,3,2,2
166,-1,5,5,5,5,2,1,4
167,Comm.Apache,4,4,2,4,2,1,3
168,Comm.Apache,5,5,3,4,1,1,2
169,Comm.Apache,5,5,5,5,1,1,1
170,-1,5,4,4,5,1,1,3
171,Comm.Apache,5,5,5,5,4,2,1
172,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
173,Comm.Apache,4,5,4,5,1,1,2
174,Comm.Apache,3,4,4,5,2,2,4
175,-1,-1,-1,-1,-1,-1,-1,-1
176,Comm.Apache,3,4,2,4,2,2,2
177,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
178,-1,-1,-1,-1,-1,-1,-1,-1
179,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
180,Comm.ReactJS,3,2,4,4,1,2,3
181,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
182,Comm.Apache,5,5,5,5,1,1,3
183,-1,5,5,4,5,1,2,2
184,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
185,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
186,Comm.Apache,4,4,4,4,1,1,2
187,Comm.Apache,4,5,5,5,3,3,3
188,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
189,Comm.Apache,4,5,4,5,2,1,2
190,Comm.FOSSASIA,5,5,5,5,1,2,1
191,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
192,-1,-1,-1,-1,-1,-1,-1,-1
193,-1,-1,-1,-1,-1,-1,-1,-1
194,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
195,Comm.ROS,5,4,4,4,3,3,4
196,Comm.Apache,5,4,4,5,2,2,1
197,Comm.Apache,3,4,4,5,2,2,2
198,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
199,Comm.FOSSASIA,5,5,3,5,1,1,2
200,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
201,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
202,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
203,Comm.FOSSASIA,2,3,3,3,2,2,1
204,Comm.ROS,5,5,4,5,2,1,2
205,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
206,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
207,-1,-1,-1,-1,-1,-1,-1,-1
208,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
209,Comm.Plone,-1,-1,-1,-1,-1,-1,-1
210,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
211,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
212,Comm.FOSSASIA,4,4,4,4,2,1,3
213,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
214,Comm.Mozilla,4,4,4,4,4,2,3
215,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
216,Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1
217,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
218,Comm.Plone,5,4,4,4,3,2,2
219,Comm.FOSSASIA,4,3,3,3,2,1,3
220,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
221,Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1
222,Comm.OpenGenus,-1,-1,-1,-1,-1,-1,-1
223,-1,-1,-1,-1,-1,-1,-1,-1
224,Comm.Linux_Kernel,-1,-1,-1,-1,-1,-1,-1
225,Comm.FOSSASIA,3,4,5,5,2,2,2
226,Comm.FOSSASIA,2,3,3,3,2,2,1
227,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
228,-1,5,5,5,5,1,1,1
229,Comm.FOSSASIA,-1,-1,-1,-1,-1,-1,-1
230,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
231,Comm.Coala,5,5,5,5,3,3,2
232,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
233,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
234,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
235,Comm.Plone,-1,-1,-1,-1,-1,-1,-1
236,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
237,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
238,-1,-1,-1,-1,-1,-1,-1,-1
239,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
240,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
241,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
242,Comm.Plone,5,4,4,5,3,2,3
243,Comm.Plone,5,5,5,5,2,3,2
244,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
245,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
246,Comm.Plone,-1,-1,-1,-1,-1,-1,-1
247,Comm.Odoo,4,5,5,5,1,3,2
248,Comm.Odoo,2,3,3,3,1,1,3
249,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
250,Comm.Coala,-1,-1,-1,-1,-1,-1,-1
251,Comm.Apache,-1,-1,-1,-1,-1,-1,-1
252,Comm.Odoo,-1,-1,-1,-1,-1,-1,-1
253,Comm.FOSSASIA,3,5,5,5,1,1,1
254,Comm.Apache,4,4,4,5,2,1,3
